date	gravid_female	total	gravid_cal	total_cal
02/12/08	1.67	10.89	0	0.04
13/02/09	0.1	3.03	0	0
09/03/09	0.07	3.33	0	0
30/03/09	0	3.13	0	0
				
02/12/08	0.06	5.94	0	0.06
04/02/09	0.32	1.42	0	0
09/03/09	0	2.21	0	0
30/03/09	0.17	2.33	0	0
06/04/09	0	0.61	0	0
24/04/09	0.04	1.04	0	0.02
14/05/09	0	0.98	0	0
26/05/09	0.15	3.88	0	0
16/06/09	0.08	0.3	0	0
17/07/09	0.9	2.6	0	0
31/08/09	6.37	20.1	0	0
28/09/09	4.57	10.37	0	0
				
24/04/09	0	0.65	0	0
14/05/09	0	0.57	0	0
26/05/09	0	0.4	0	0
16/06/09	0	0.13	0	0
17/07/09	0.17	0.97	0	0
31/08/09	0.6	4.07	0	0
28/09/09	3.43	18.53	0	0
28/10/09	0.13	1.13	0	0
10/11/09	0.06	10.74	0	0
				
28/10/09	0	0.63	0	0
10/11/09	0	4.87	0	0
				
10/12/08	1.46	15.14	0.11	0.14
				
10/12/08	0.22	5.11	0.07	0.12
03/02/09	0.03	2.12	0	0
04/03/09	0.12	1	0.02	0.02
19/03/09	0.1	1.28	0	0
02/04/09	0.09	0.62	0.02	0.09
21/04/09	0.04	0.24	0	0.06
14/05/09	0.05	0.32	0.02	0.02
27/05/09	0.03	1.25	0.04	0.1
25/06/09	0.13	0.33	0.03	0.07
14/07/09	0.04	0.78	0.17	0.17
				
10/12/08	0	0.82	0	0
03/02/09	0.02	0.27	0	0
04/03/09	0	0.22	0	0
19/03/09	0.03	0.35	0	0.03
02/04/09	0	0.04	0	0
21/04/09	0.04	0.09	0	0
14/05/09	0	0.02	0	0
27/05/09	0	0.49	0	0.02
25/06/09	0	0.04	0.04	0.07
14/07/09	0	0.24	0.02	0.03
06/08/09	0.13	0.44	0	0
17/09/09	0.1	0.49	0	0
07/10/09	0.04	0.12	0	0
10/11/09	0.02	0.07	0	0
				
06/08/09	0	0.03	0.04	0.04
17/09/09	0.02	0.17	0	0
07/10/09	0.02	0.36	0	0
10/11/09	0	0.13	0	0
				
10/12/08	1.88	3.43	0	0
				
02/04/09	0	0	0	0
21/04/09	0	0.08	0	0
05/05/09	0	0.05	0	0
27/05/09	0	0.22	0	0
25/06/09	0	0	0.02	0.09
14/07/09	0	0	0.13	0.13
06/08/09	0	0	0.04	0.04
17/09/09	0	0	0.02	0.02
07/10/09	0.02	0.02	0	0
10/11/09	0.02	0.06	0	0
				
10/12/08	0.35	2.2	0.02	0.04
03/02/09	0.88	15.69	0.04	0.1
04/03/09	0	0.04	0.02	0.04
19/03/09	0.03	1.02	0.03	0.19
02/04/09	0.05	1.78	0.14	0.29
21/04/09	1.04	2.7	0.14	0.24
14/05/09	0.07	0.11	0.02	0.02
27/05/09	0.02	0.1	0.02	0.05
25/06/09	0.22	0.25	0	0
14/07/09	0.35	1.26	0.04	0.04
				
10/12/08	0.34	7.47	0.22	0.79
				
04/03/09	0.04	0.04	0	0
20/03/09	0.09	0.32	0	0
07/04/09	0.02	0.61	0.04	0.12
21/04/09	0.09	1.32	0.02	0.14
05/05/09	0.32	9.21	0.14	0.42
21/05/09	1.29	3.26	0.18	0.27
16/06/09	1.09	11.68	1	1.41
				
04/02/09	0.16	2.47	0.02	0.02
04/03/09	0	0.12	0	0.04
20/03/09	0.02	0.62	0	0
07/04/09	0.35	2.03	0.14	0.32
21/04/09	0.36	4	0.15	0.38
				
				
10/12/08	0.96	24.25	0.21	0.61
04/02/09	0	0.12	0	0
04/03/09	0	0.36	0.02	0.02
20/03/09	0.58	1.97	0.07	0.15
07/04/09	0.24	0.59	0.05	0.05
21/04/09	0.3	2.85	0.1	0.35
05/05/09	0.59	8.64	0.33	0.7
21/05/09	1.47	5.41	0.18	0.21
				
16/06/09	0.59	7.78	0.16	0.45
				
04/02/09	0.33	1.68	0.05	0.05
04/03/09	0.23	1.01	0.07	0.09
20/03/09	0.07	0.24	0.06	0.06
07/04/09	0.1	1.22	0.1	0.2
21/04/09	0.12	1.36	0.16	0.26
05/05/09	0.25	4.3	0.12	0.28
21/05/09	0	0.04	0	0
16/06/09	0.07	0.55	0.02	0.09
07/07/09	0.16	0.78	0.72	1.59
06/08/09	0.05	0.99	0	0
29/09/09	0.99	7.6	0	0
16/10/09	2.1	12.99	0.02	0.03
18/11/09	2.99	11.71	0	0
